date;"puechabon_rainfall (mm)"
	2000-01-01 00:00:00	;22.5
	2000-02-01 00:00:00	;6.2
	2000-03-01 00:00:00	;22.5
	2000-04-01 00:00:00	;87
	2000-05-01 00:00:00	;93
	2000-06-01 00:00:00	;43
	2000-07-01 00:00:00	;43.1
	2000-08-01 00:00:00	;51.4
	2000-09-01 00:00:00	;121.5
	2000-10-01 00:00:00	;53.5
	2000-11-01 00:00:00	;52.8
	2000-12-01 00:00:00	;159.5
	2001-01-01 00:00:00	;185.5
	2001-02-01 00:00:00	;25.5
	2001-03-01 00:00:00	;104
	2001-04-01 00:00:00	;32.5
	2001-05-01 00:00:00	;54.5
	2001-06-01 00:00:00	;52.5
	2001-07-01 00:00:00	;23
	2001-08-01 00:00:00	;46
	2001-09-01 00:00:00	;99.5
	2001-10-01 00:00:00	;154.5
	2001-11-01 00:00:00	;38.5
	2001-12-01 00:00:00	;2.5
	2002-01-01 00:00:00	;25
	2002-02-01 00:00:00	;69.7
	2002-03-01 00:00:00	;44.2
	2002-04-01 00:00:00	;66.5
	2002-05-01 00:00:00	;74.8
	2002-06-01 00:00:00	;52
	2002-07-01 00:00:00	;14.4
	2002-08-01 00:00:00	;88
	2002-09-01 00:00:00	;52
	2002-10-01 00:00:00	;177
	2002-11-01 00:00:00	;99.5
	2002-12-01 00:00:00	;360
	2003-01-01 00:00:00	;30.1
	2003-02-01 00:00:00	;115.9
	2003-03-01 00:00:00	;15.4
	2003-04-01 00:00:00	;142.7
	2003-05-01 00:00:00	;32.3
	2003-06-01 00:00:00	;5.8
	2003-07-01 00:00:00	;7.1
	2003-08-01 00:00:00	;36.7
	2003-09-01 00:00:00	;150.5
	2003-10-01 00:00:00	;166.2
	2003-11-01 00:00:00	;307.9
	2003-12-01 00:00:00	;299.5
	2004-01-01 00:00:00	;64.842
	2004-02-01 00:00:00	;72.114
	2004-03-01 00:00:00	;174.122
	2004-04-01 00:00:00	;154.328
	2004-05-01 00:00:00	;33.734
	2004-06-01 00:00:00	;46.262
	2004-07-01 00:00:00	;5.05
	2004-08-01 00:00:00	;100.196
	2004-09-01 00:00:00	;107.262
	2004-10-01 00:00:00	;125.244
	2004-11-01 00:00:00	;28.078
	2004-12-01 00:00:00	;78.376
	2005-01-01 00:00:00	;7.474
	2005-02-01 00:00:00	;33.734
	2005-03-01 00:00:00	;27.27
	2005-04-01 00:00:00	;51.304
	2005-05-01 00:00:00	;32.32
	2005-06-01 00:00:00	;94.134
	2005-07-01 00:00:00	;7.878
	2005-08-01 00:00:00	;14.342
	2005-09-01 00:00:00	;255.2504
	2005-10-01 00:00:00	;227.854
	2005-11-01 00:00:00	;73.73
	2005-12-01 00:00:00	;6.868
	2006-01-01 00:00:00	;261
	2006-02-01 00:00:00	;9.8
	2006-03-01 00:00:00	;41
	2006-04-01 00:00:00	;16.6
	2006-05-01 00:00:00	;18.2
	2006-06-01 00:00:00	;1.4
	2006-07-01 00:00:00	;9.6
	2006-08-01 00:00:00	;25.4
	2006-09-01 00:00:00	;199.4
	2006-10-01 00:00:00	;167.5
	2006-11-01 00:00:00	;36.6
	2006-12-01 00:00:00	;26.9
	2007-01-01 00:00:00	;25.25
	2007-02-01 00:00:00	;61.812
	2007-03-01 00:00:00	;5.656
	2007-04-01 00:00:00	;77.164
	2007-05-01 00:00:00	;119
	2007-06-01 00:00:00	;93.3
	2007-07-01 00:00:00	;7.9
	2007-08-01 00:00:00	;13.9
	2007-09-01 00:00:00	;104.2
	2007-10-01 00:00:00	;109.1
	2007-11-01 00:00:00	;42.2
	2007-12-01 00:00:00	;22.018
	2008-01-01 00:00:00	;169.1
	2008-02-01 00:00:00	;60.8
	2008-03-01 00:00:00	;31.3
	2008-04-01 00:00:00	;96.2
	2008-05-01 00:00:00	;135.9
	2008-06-01 00:00:00	;122.616
	2008-07-01 00:00:00	;15.15
	2008-08-01 00:00:00	;16.968
	2008-09-01 00:00:00	;26.9
	2008-10-01 00:00:00	;46.9
	2008-11-01 00:00:00	;330.5
	2008-12-01 00:00:00	;166.7
	2009-01-01 00:00:00	;60
	2009-02-01 00:00:00	;163
	2009-03-01 00:00:00	;59.6
	2009-04-01 00:00:00	;143.2
	2009-05-01 00:00:00	;42.2
	2009-06-01 00:00:00	;40
	2009-07-01 00:00:00	;42.2
	2009-08-01 00:00:00	;9.292
	2009-09-01 00:00:00	;32.724
	2009-10-01 00:00:00	;116.6
	2009-11-01 00:00:00	;12.04
	2009-12-01 00:00:00	;32.5
	2010-01-01 00:00:00	;122.794
	2010-02-01 00:00:00	;154.592
	2010-03-01 00:00:00	;106.862
	2010-04-01 00:00:00	;43.026
	2010-05-01 00:00:00	;82.302
	2010-06-01 00:00:00	;40.804
	2010-07-01 00:00:00	;7.676
	2010-08-01 00:00:00	;9.292
	2010-09-01 00:00:00	;56.96
	2010-10-01 00:00:00	;138.976
	2010-11-01 00:00:00	;74.94
	2010-12-01 00:00:00	;109.888
	2011-01-01 00:00:00	;46.46
	2011-02-01 00:00:00	;32.3
	2011-03-01 00:00:00	;259.8
	2011-04-01 00:00:00	;34.4
	2011-05-01 00:00:00	;12.2
	2011-06-01 00:00:00	;71.9
	2011-07-01 00:00:00	;55.146
	2011-08-01 00:00:00	;27.27
	2011-09-01 00:00:00	;40.4
	2011-10-01 00:00:00	;159.4
	2011-11-01 00:00:00	;421.6
	2011-12-01 00:00:00	;7.7
	2012-01-01 00:00:00	;7.9
	2012-02-01 00:00:00	;0
	2012-03-01 00:00:00	;6.9
	2012-04-01 00:00:00	;112.3
	2012-05-01 00:00:00	;99.382
	2012-06-01 00:00:00	;37.166
	2012-07-01 00:00:00	;77.2
	2012-08-01 00:00:00	;56.8
	2012-09-01 00:00:00	;80.8
	2012-10-01 00:00:00	;142.8
	2012-11-01 00:00:00	;123.2
	2012-12-01 00:00:00	;74.7
	2013-01-01 00:00:00	;69.1
	2013-02-01 00:00:00	;26.7
	2013-03-01 00:00:00	;365.5
	2013-04-01 00:00:00	;73.5
	2013-05-01 00:00:00	;70.9
	2013-06-01 00:00:00	;25.5
	2013-07-01 00:00:00	;13.1
	2013-08-01 00:00:00	;30.7
	2013-09-01 00:00:00	;74.08144
	2013-10-01 00:00:00	;77.4
	2013-11-01 00:00:00	;52.722
	2013-12-01 00:00:00	;22.8
	2014-01-01 00:00:00	;95.6
	2014-02-01 00:00:00	;69.8
	2014-03-01 00:00:00	;12.4
	2014-04-01 00:00:00	;29
	2014-05-01 00:00:00	;52.6
	2014-06-01 00:00:00	;48
	2014-07-01 00:00:00	;111.834453
	2014-08-01 00:00:00	;43.4
	2014-09-01 00:00:00	;431.6
	2014-10-01 00:00:00	;68.8
	2014-11-01 00:00:00	;263.2
	2014-12-01 00:00:00	;49.8
	2015-01-01 00:00:00	;26.4
	2015-02-01 00:00:00	;18
	2015-03-01 00:00:00	;65.4
	2015-04-01 00:00:00	;97.6
	2015-05-01 00:00:00	;4.2
	2015-06-01 00:00:00	;81
	2015-07-01 00:00:00	;23.4
	2015-08-01 00:00:00	;153.4
	2015-09-01 00:00:00	;30.6
	2015-10-01 00:00:00	;102.6
	2015-11-01 00:00:00	;76
	2015-12-01 00:00:00	;57.4
	2016-01-01 00:00:00	;53
	2016-02-01 00:00:00	;131
	2016-03-01 00:00:00	;27.6
	2016-04-01 00:00:00	;82.6
	2016-05-01 00:00:00	;137.2
	2016-06-01 00:00:00	;30.8
	2016-07-01 00:00:00	;11.4
	2016-08-01 00:00:00	;3.2
	2016-09-01 00:00:00	;236.4
	2016-10-01 00:00:00	;281.4
	2016-11-01 00:00:00	;91.6
	2016-12-01 00:00:00	;96.8
	2017-01-01 00:00:00	;92.8
	2017-02-01 00:00:00	;89.4
	2017-03-01 00:00:00	;94.4
	2017-04-01 00:00:00	;65.2
	2017-05-01 00:00:00	;39
	2017-06-01 00:00:00	;58
	2017-07-01 00:00:00	;7.4
	2017-08-01 00:00:00	;4.8
	2017-09-01 00:00:00	;7.2
	2017-10-01 00:00:00	;45.2
	2017-11-01 00:00:00	;86.8
	2017-12-01 00:00:00	;23.8
